Latitude (decimal degrees):	50.937
Longitude (decimal degrees):	6.984
Elevation (m):	49
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180927:0410,0.0,0.0,0.0,6.81,1.66,0.0
20180927:0510,0.0,0.0,0.0,6.61,1.59,0.0
20180927:0610,358.5,71.0,6.41,6.53,1.52,0.0
20180927:0710,1650.3,229.0,15.45,9.04,1.59,0.0
20180927:0810,2987.9,379.01,23.69,12.99,1.66,0.0
20180927:0910,3983.1,497.01,30.55,15.87,1.86,0.0
20180927:1010,4652.6,583.01,35.36,18.13,2.0,0.0
20180927:1110,4989.0,629.01,37.46,19.82,2.21,0.0
20180927:1210,4634.3,587.01,36.51,21.09,2.34,0.0
20180927:1310,4184.5,533.01,32.66,21.98,2.55,0.0
20180927:1410,3294.9,428.01,26.5,22.46,2.55,0.0
20180927:1510,2060.5,286.01,18.72,22.48,2.41,0.0
20180927:1610,757.7,133.0,9.92,21.62,1.59,0.0
20180927:1710,0.0,0.0,0.0,19.79,1.59,0.0
20180927:1810,0.0,0.0,0.0,16.97,1.79,0.0
20180927:1910,0.0,0.0,0.0,15.07,1.52,0.0
20180927:2010,0.0,0.0,0.0,13.17,2.0,0.0
20180927:2110,0.0,0.0,0.0,12.24,2.41,0.0
20180927:2210,0.0,0.0,0.0,11.43,2.41,0.0
20180927:2310,0.0,0.0,0.0,10.71,2.28,0.0
20180928:0010,0.0,0.0,0.0,9.99,2.14,0.0
20180928:0110,0.0,0.0,0.0,9.28,2.07,0.0
20180928:0210,0.0,0.0,0.0,8.56,2.0,0.0
20180928:0310,0.0,0.0,0.0,8.03,1.93,0.0
20180928:0410,0.0,0.0,0.0,7.65,1.86,0.0
20180928:0510,0.0,0.0,0.0,7.54,1.79,0.0
20180928:0610,281.5,54.0,6.15,7.62,1.66,0.0
20180928:0710,427.9,66.0,15.19,10.23,1.31,0.0
20180928:0810,295.6,50.0,23.4,12.49,2.07,0.0
20180928:0910,240.3,43.0,30.22,13.51,3.45,0.0
20180928:1010,511.1,77.0,35.0,13.91,4.14,0.0
20180928:1110,544.0,81.0,37.08,13.9,3.86,0.0
20180928:1210,437.3,68.0,36.11,13.95,3.86,0.0
20180928:1310,794.0,111.0,32.26,14.28,3.72,0.0
20180928:1410,1039.3,140.0,26.11,14.52,3.59,0.0
20180928:1510,1111.2,150.0,18.34,14.71,3.45,0.0
20180928:1610,636.5,104.0,9.56,14.7,3.52,0.0
20180928:1710,0.0,0.0,0.0,13.97,3.24,0.0
20180928:1810,0.0,0.0,0.0,12.79,2.97,0.0
20180928:1910,0.0,0.0,0.0,11.01,2.69,0.0
20180928:2010,0.0,0.0,0.0,10.48,2.83,0.0
20180928:2110,0.0,0.0,0.0,9.65,2.76,0.0
20180928:2210,0.0,0.0,0.0,8.88,2.48,0.0
20180928:2310,0.0,0.0,0.0,8.15,2.21,0.0
20180929:0010,0.0,0.0,0.0,7.41,2.14,0.0
20180929:0110,0.0,0.0,0.0,6.62,1.93,0.0
20180929:0210,0.0,0.0,0.0,5.79,1.93,0.0
20180929:0310,0.0,0.0,0.0,5.3,2.14,0.0
20180929:0410,0.0,0.0,0.0,4.84,1.86,0.0
20180929:0510,0.0,0.0,0.0,4.71,1.59,0.0
20180929:0610,296.3,60.0,5.9,4.85,1.45,0.0
20180929:0710,1524.8,209.0,14.92,6.13,1.38,0.0
20180929:0810,2741.2,341.01,23.1,8.78,1.79,0.0
20180929:0910,3865.6,470.01,29.9,10.53,2.07,0.0
20180929:1010,4591.6,558.01,34.64,12.08,2.21,0.0
20180929:1110,4906.7,599.01,36.69,13.31,2.28,0.0
20180929:1210,4644.8,570.01,35.71,14.24,2.21,0.0
20180929:1310,4127.4,511.01,31.87,14.85,1.93,0.0
20180929:1410,3280.2,415.01,25.73,15.17,1.72,0.0
20180929:1510,1977.2,268.01,17.97,15.19,1.66,0.0
20180929:1610,703.6,124.0,9.2,14.77,1.31,0.0
20180929:1710,0.0,0.0,0.0,13.65,1.17,0.0
20180929:1810,0.0,0.0,0.0,11.13,1.45,0.0
20180929:1910,0.0,0.0,0.0,9.35,1.59,0.0
20180929:2010,0.0,0.0,0.0,8.02,1.72,0.0
20180929:2110,0.0,0.0,0.0,6.98,1.86,0.0
20180929:2210,0.0,0.0,0.0,6.27,2.0,0.0
20180929:2310,0.0,0.0,0.0,5.79,1.93,0.0
20180930:0010,0.0,0.0,0.0,5.57,1.79,0.0
20180930:0110,0.0,0.0,0.0,5.15,1.72,0.0
20180930:0210,0.0,0.0,0.0,4.65,1.72,0.0
20180930:0310,0.0,0.0,0.0,4.02,1.93,0.0
20180930:0410,0.0,0.0,0.0,3.76,2.07,0.0
20180930:0510,0.0,0.0,0.0,3.64,1.79,0.0
20180930:0610,229.3,53.41,5.65,4.44,1.38,0.0
20180930:0710,1560.5,217.0,14.65,5.82,1.1,0.0
20180930:0810,2889.7,365.01,22.81,9.68,0.83,0.0
20180930:0910,3883.5,484.01,29.57,11.98,0.34,0.0
20180930:1010,4575.4,573.01,34.28,13.73,0.34,0.0
20180930:1110,4836.7,608.01,36.3,15.04,0.55,0.0
20180930:1210,4613.9,578.01,35.31,16.02,1.1,0.0
20180930:1310,4148.0,520.01,31.47,16.59,1.59,0.0
20180930:1410,3230.7,412.01,25.35,16.72,1.93,0.0
20180930:1510,1980.9,272.01,17.6,16.47,2.07,0.0
20180930:1610,651.4,116.0,8.84,15.71,1.93,0.0
20180930:1710,0.0,0.0,0.0,14.0,2.28,0.0
20180930:1810,0.0,0.0,0.0,12.24,2.28,0.0
20180930:1910,0.0,0.0,0.0,11.02,2.07,0.0
20180930:2010,0.0,0.0,0.0,10.0,2.21,0.0
20180930:2110,0.0,0.0,0.0,9.72,2.41,0.0
20180930:2210,0.0,0.0,0.0,10.02,2.41,0.0
20180930:2310,0.0,0.0,0.0,10.31,2.55,0.0
20181001:0010,0.0,0.0,0.0,10.18,2.55,0.0
20181001:0110,0.0,0.0,0.0,10.0,2.41,0.0
20181001:0210,0.0,0.0,0.0,9.64,2.55,0.0
20181001:0310,0.0,0.0,0.0,9.7,2.9,0.0
20181001:0410,0.0,0.0,0.0,9.63,3.17,0.0
20181001:0510,0.0,0.0,0.0,9.24,3.1,0.0
20181001:0610,160.4,33.27,5.39,8.82,2.97,0.0
20181001:0710,1115.9,153.0,14.38,9.2,3.03,0.0
20181001:0810,2756.7,344.01,22.52,10.1,3.93,0.0
20181001:0910,2779.7,338.0,29.25,11.2,4.34,0.0
20181001:1010,2534.3,310.0,33.92,12.06,4.41,0.0
20181001:1110,3982.1,479.01,35.92,12.89,4.69,0.0
20181001:1210,311.0,52.0,34.92,13.08,5.24,0.0
20181001:1310,2247.5,276.0,31.08,12.02,6.41,0.0
20181001:1410,3098.3,380.01,24.97,11.81,6.21,0.0
20181001:1510,1555.6,205.0,17.23,11.59,5.86,0.0
20181001:1610,452.2,74.0,8.48,11.09,5.45,0.0
20181001:1710,0.0,0.0,0.0,10.13,4.69,0.0
20181001:1810,0.0,0.0,0.0,9.48,4.28,0.0
20181001:1910,0.0,0.0,0.0,8.37,3.79,0.0
20181001:2010,0.0,0.0,0.0,8.26,3.31,0.0
20181001:2110,0.0,0.0,0.0,7.8,2.97,0.0
20181001:2210,0.0,0.0,0.0,7.25,2.76,0.0
20181001:2310,0.0,0.0,0.0,7.22,2.69,0.0
20181002:0010,0.0,0.0,0.0,7.09,2.69,0.0
20181002:0110,0.0,0.0,0.0,7.1,2.9,0.0
20181002:0210,0.0,0.0,0.0,7.25,2.97,0.0
20181002:0310,0.0,0.0,0.0,7.55,3.03,0.0
20181002:0410,0.0,0.0,0.0,7.6,3.31,0.0
20181002:0510,0.0,0.0,0.0,7.97,3.66,0.0
20181002:0610,35.5,13.0,5.14,8.37,3.86,0.0
20181002:0710,498.1,74.0,14.11,8.55,4.14,0.0
20181002:0810,668.9,94.0,22.22,8.9,4.55,0.0
20181002:0910,285.6,48.0,28.92,8.92,4.69,0.0
20181002:1010,659.9,93.0,33.56,9.1,4.97,0.0
20181002:1110,821.7,112.0,35.53,9.74,5.17,0.0
20181002:1210,479.5,72.0,34.52,10.04,5.03,0.0
20181002:1310,291.4,49.0,30.69,10.41,5.17,0.0
20181002:1410,713.6,100.0,24.59,11.01,5.17,0.0
20181002:1510,892.4,122.0,16.87,11.64,5.17,0.0
20181002:1610,506.5,89.0,8.12,12.22,4.83,0.0
20181002:1710,0.0,0.0,0.0,12.64,4.41,0.0
20181002:1810,0.0,0.0,0.0,12.65,4.14,0.0
20181002:1910,0.0,0.0,0.0,11.87,3.38,0.0
20181002:2010,0.0,0.0,0.0,11.64,3.31,0.0
20181002:2110,0.0,0.0,0.0,11.46,3.45,0.0
20181002:2210,0.0,0.0,0.0,11.61,3.52,0.0
20181002:2310,0.0,0.0,0.0,11.69,3.31,0.0
20181003:0010,0.0,0.0,0.0,11.49,3.1,0.0
20181003:0110,0.0,0.0,0.0,11.32,3.17,0.0
20181003:0210,0.0,0.0,0.0,11.18,3.38,0.0
20181003:0310,0.0,0.0,0.0,11.41,3.66,0.0
20181003:0410,0.0,0.0,0.0,11.26,3.72,0.0
20181003:0510,0.0,0.0,0.0,10.95,3.66,0.0
20181003:0610,158.7,36.68,4.88,10.49,3.45,0.0
20181003:0710,1037.7,145.0,13.84,10.81,3.1,0.0
20181003:0810,1392.9,180.0,21.93,11.59,3.1,0.0
20181003:0910,2416.7,298.0,28.59,12.52,4.14,0.0
20181003:1010,2929.8,358.0,33.2,13.42,4.28,0.0
20181003:1110,3427.9,417.0,35.15,13.77,4.07,0.0
20181003:1210,2791.8,343.0,34.13,13.95,4.0,0.0
20181003:1310,2508.9,311.0,30.3,14.23,3.79,0.0
20181003:1410,1795.6,229.0,24.21,14.33,3.66,0.0
20181003:1510,1440.0,195.0,16.5,14.21,3.52,0.0
20181003:1610,309.7,54.0,7.77,13.84,2.83,0.0
20181003:1710,0.0,0.0,0.0,13.16,2.0,0.0
20181003:1810,0.0,0.0,0.0,12.0,1.93,0.0
20181003:1910,0.0,0.0,0.0,11.39,2.0,0.0
20181003:2010,0.0,0.0,0.0,10.81,1.93,0.0
20181003:2110,0.0,0.0,0.0,10.1,1.93,0.0
20181003:2210,0.0,0.0,0.0,9.07,2.0,0.0
20181003:2310,0.0,0.0,0.0,8.18,1.72,0.0
20181004:0010,0.0,0.0,0.0,7.77,1.52,0.0
20181004:0110,0.0,0.0,0.0,7.9,1.45,0.0
20181004:0210,0.0,0.0,0.0,8.44,1.52,0.0
20181004:0310,0.0,0.0,0.0,8.81,1.66,0.0
20181004:0410,0.0,0.0,0.0,9.2,1.72,0.0
20181004:0510,0.0,0.0,0.0,9.46,1.79,0.0
20181004:0610,58.8,17.0,4.62,9.98,1.72,0.0
20181004:0710,459.6,70.0,13.57,10.15,1.45,0.0
20181004:0810,767.8,107.0,21.63,11.59,1.59,0.0
20181004:0910,667.9,96.0,28.27,13.64,1.66,0.0
20181004:1010,1023.6,139.0,32.84,15.17,1.59,0.0
20181004:1110,1293.7,172.0,34.76,16.56,1.45,0.0
20181004:1210,1423.9,188.0,33.73,17.11,1.31,0.0
20181004:1310,2035.6,262.0,29.91,17.75,1.31,0.0
20181004:1410,2790.5,364.01,23.83,18.13,0.9,0.0
20181004:1510,1663.2,238.01,16.14,18.04,0.62,0.0
20181004:1610,448.7,87.0,7.41,17.7,1.03,0.0
20181004:1710,0.0,0.0,0.0,15.99,2.07,0.0
20181004:1810,0.0,0.0,0.0,14.23,2.34,0.0
20181004:1910,0.0,0.0,0.0,12.87,2.48,0.0
20181004:2010,0.0,0.0,0.0,12.18,2.55,0.0
20181004:2110,0.0,0.0,0.0,11.74,2.62,0.0
20181004:2210,0.0,0.0,0.0,11.38,2.62,0.0
20181004:2310,0.0,0.0,0.0,11.0,2.55,0.0
20181005:0010,0.0,0.0,0.0,10.58,2.48,0.0
20181005:0110,0.0,0.0,0.0,10.14,2.41,0.0
20181005:0210,0.0,0.0,0.0,9.72,2.41,0.0
20181005:0310,0.0,0.0,0.0,9.37,2.48,0.0
20181005:0410,0.0,0.0,0.0,9.16,2.62,0.0
20181005:0510,0.0,0.0,0.0,9.02,2.69,0.0
20181005:0610,138.9,35.89,4.37,8.95,2.69,0.0
20181005:0710,1300.6,191.0,13.29,10.36,2.97,0.0
20181005:0810,2613.9,336.01,21.33,13.08,3.1,0.0
20181005:0910,3582.3,445.01,27.94,15.59,3.52,0.0
20181005:1010,4343.9,538.01,32.48,17.53,3.52,0.0
20181005:1110,4564.9,568.01,34.38,19.12,3.59,0.0
20181005:1210,4322.3,542.01,33.34,20.34,3.52,0.0
20181005:1310,3806.2,483.01,29.52,21.13,3.52,0.0
20181005:1410,2877.0,377.01,23.45,21.47,3.59,0.0
20181005:1510,1622.1,235.01,15.77,21.28,3.38,0.0
20181005:1610,419.3,85.0,7.06,20.13,2.76,0.0
20181005:1710,0.0,0.0,0.0,17.99,2.83,0.0
20181005:1810,0.0,0.0,0.0,16.29,2.83,0.0
20181005:1910,0.0,0.0,0.0,15.25,2.83,0.0
20181005:2010,0.0,0.0,0.0,14.42,2.76,0.0
20181005:2110,0.0,0.0,0.0,13.75,2.62,0.0
20181005:2210,0.0,0.0,0.0,13.15,2.48,0.0
20181005:2310,0.0,0.0,0.0,12.52,2.34,0.0
20181006:0010,0.0,0.0,0.0,11.84,2.28,0.0
20181006:0110,0.0,0.0,0.0,11.23,2.21,0.0
20181006:0210,0.0,0.0,0.0,10.81,2.21,0.0
20181006:0310,0.0,0.0,0.0,10.59,2.34,0.0
20181006:0410,0.0,0.0,0.0,10.73,2.55,0.0
20181006:0510,0.0,0.0,0.0,11.12,2.83,0.0
20181006:0610,120.7,33.2,4.11,11.53,2.97,0.0
20181006:0710,1202.3,180.0,13.02,12.71,2.97,0.0
20181006:0810,2489.3,325.01,21.03,15.48,3.03,0.0
20181006:0910,3450.6,435.01,27.61,18.14,3.31,0.0
20181006:1010,4126.8,519.01,32.12,20.36,3.31,0.0
20181006:1110,4312.6,545.01,34.0,22.11,3.45,0.0
20181006:1210,4079.1,519.01,32.95,23.26,3.52,0.0
20181006:1310,3139.8,404.01,29.13,23.72,3.79,0.0
20181006:1410,2082.5,276.0,23.08,23.66,4.21,0.0
20181006:1510,1259.6,182.0,15.41,23.09,2.97,0.0
20181006:1610,219.8,43.0,6.71,21.96,1.86,0.0
20181006:1710,0.0,0.0,0.0,20.32,1.72,0.0
20181006:1810,0.0,0.0,0.0,18.32,2.0,0.0
20181006:1910,0.0,0.0,0.0,16.52,2.21,0.0
20181006:2010,0.0,0.0,0.0,15.48,2.14,0.0
20181006:2110,0.0,0.0,0.0,14.39,1.93,0.0
20181006:2210,0.0,0.0,0.0,13.58,1.59,0.0
20181006:2310,0.0,0.0,0.0,14.38,0.76,0.0
20181007:0010,0.0,0.0,0.0,13.75,0.9,0.0
20181007:0110,0.0,0.0,0.0,11.49,1.79,0.0
20181007:0210,0.0,0.0,0.0,11.99,2.41,0.0
20181007:0310,0.0,0.0,0.0,12.33,3.1,0.0
20181007:0410,0.0,0.0,0.0,12.18,3.86,0.0
20181007:0510,0.0,0.0,0.0,11.93,3.93,0.0
20181007:0610,52.2,16.0,3.85,11.56,3.31,0.0
20181007:0710,204.8,38.0,12.75,11.46,3.31,0.0
20181007:0810,175.3,34.0,20.74,11.21,4.07,0.0
20181007:0910,321.6,53.0,27.28,11.26,3.79,0.0
20181007:1010,1309.6,170.0,31.76,12.34,3.38,0.0
20181007:1110,3491.6,426.01,33.62,13.71,3.31,0.0
20181007:1210,2796.5,346.0,32.56,14.89,3.31,0.0
20181007:1310,3544.0,439.01,28.75,15.44,3.38,0.0
20181007:1410,2719.5,349.01,22.7,15.64,3.24,0.0
20181007:1510,1009.7,141.0,15.05,15.42,3.17,0.0
20181007:1610,312.5,61.0,6.36,14.85,2.76,0.0
20181007:1710,0.0,0.0,0.0,13.54,2.34,0.0
20181007:1810,0.0,0.0,0.0,12.29,2.41,0.0
20181007:1910,0.0,0.0,0.0,11.17,2.21,0.0
20181007:2010,0.0,0.0,0.0,10.52,2.0,0.0
20181007:2110,0.0,0.0,0.0,9.53,1.52,0.0
20181007:2210,0.0,0.0,0.0,8.67,1.31,0.0
20181007:2310,0.0,0.0,0.0,9.67,0.69,0.0
20181008:0010,0.0,0.0,0.0,9.47,0.34,0.0
20181008:0110,0.0,0.0,0.0,8.0,0.97,0.0
20181008:0210,0.0,0.0,0.0,7.5,1.1,0.0
20181008:0310,0.0,0.0,0.0,8.27,0.14,0.0
20181008:0410,0.0,0.0,0.0,7.93,0.21,0.0
20181008:0510,0.0,0.0,0.0,7.61,0.28,0.0
20181008:0610,83.7,24.6,3.59,7.3,0.76,0.0
20181008:0710,1144.6,170.0,12.47,7.12,0.41,0.0
20181008:0810,2382.6,308.01,20.44,9.81,0.48,0.0
20181008:0910,3233.1,404.01,26.95,11.89,0.55,0.0
20181008:1010,4059.0,509.01,31.41,13.56,0.21,0.0
20181008:1110,4177.1,526.01,33.24,14.82,0.21,0.0
20181008:1210,3714.5,468.01,32.17,15.8,0.48,0.0
20181008:1310,3207.8,407.01,28.36,16.47,0.76,0.0
20181008:1410,2008.5,262.0,22.33,16.76,0.9,0.0
20181008:1510,1383.0,200.0,14.7,16.67,0.97,0.0
20181008:1610,316.3,68.0,6.01,16.06,0.9,0.0
20181008:1710,0.0,0.0,0.0,14.59,0.83,0.0
20181008:1810,0.0,0.0,0.0,14.19,0.55,0.0
20181008:1910,0.0,0.0,0.0,12.3,1.03,0.0
20181008:2010,0.0,0.0,0.0,10.0,1.66,0.0
20181008:2110,0.0,0.0,0.0,10.13,1.03,0.0
20181008:2210,0.0,0.0,0.0,10.55,0.28,0.0
20181008:2310,0.0,0.0,0.0,10.01,0.07,0.0
20181009:0010,0.0,0.0,0.0,9.55,0.76,0.0
20181009:0110,0.0,0.0,0.0,7.39,1.31,0.0
20181009:0210,0.0,0.0,0.0,6.9,1.38,0.0
20181009:0310,0.0,0.0,0.0,6.49,1.59,0.0
20181009:0410,0.0,0.0,0.0,6.43,1.66,0.0
20181009:0510,0.0,0.0,0.0,6.4,1.72,0.0
20181009:0610,75.8,22.81,3.33,6.58,1.72,0.0
20181009:0710,954.0,138.0,12.19,8.05,1.59,0.0
20181009:0810,2097.4,272.01,20.14,12.14,1.38,0.0
20181009:0910,3226.0,407.01,26.62,14.92,1.31,0.0
20181009:1010,3853.2,487.01,31.05,17.09,0.97,0.0
20181009:1110,4069.5,519.01,32.86,18.71,0.69,0.0
20181009:1210,3924.1,502.01,31.78,20.06,1.1,0.0
20181009:1310,3394.1,438.01,27.98,21.02,1.59,0.0
20181009:1410,2439.6,326.01,21.96,21.48,1.59,0.0
20181009:1510,938.7,137.0,14.34,21.4,1.17,0.0
20181009:1610,213.5,46.63,5.67,20.43,1.66,0.0
20181009:1710,0.0,0.0,0.0,18.21,2.34,0.0
20181009:1810,0.0,0.0,0.0,16.43,2.41,0.0
20181009:1910,0.0,0.0,0.0,15.1,2.41,0.0
20181009:2010,0.0,0.0,0.0,14.22,2.48,0.0
20181009:2110,0.0,0.0,0.0,13.42,2.41,0.0
20181009:2210,0.0,0.0,0.0,12.76,2.41,0.0
20181009:2310,0.0,0.0,0.0,12.26,2.34,0.0
20181010:0010,0.0,0.0,0.0,11.82,2.34,0.0
20181010:0110,0.0,0.0,0.0,11.45,2.34,0.0
20181010:0210,0.0,0.0,0.0,11.15,2.34,0.0
20181010:0310,0.0,0.0,0.0,10.96,2.41,0.0
20181010:0410,0.0,0.0,0.0,10.9,2.48,0.0
20181010:0510,0.0,0.0,0.0,10.9,2.55,0.0
20181010:0610,60.8,20.84,3.07,10.91,2.55,0.0
20181010:0710,1063.0,164.0,11.92,11.96,2.48,0.0
20181010:0810,2316.5,305.01,19.84,14.41,2.48,0.0
20181010:0910,3361.0,424.01,26.29,16.98,3.24,0.0
20181010:1010,4086.9,511.01,30.69,18.97,3.72,0.0
20181010:1110,4286.0,537.01,32.48,20.49,4.0,0.0
20181010:1210,4092.0,516.01,31.39,21.51,4.14,0.0
20181010:1310,3530.8,452.01,27.6,22.09,4.07,0.0
20181010:1410,2577.6,344.01,21.6,22.28,4.07,0.0
20181010:1510,1340.9,203.01,13.99,22.01,3.79,0.0
20181010:1610,202.9,50.23,5.33,20.88,3.17,0.0
20181010:1710,0.0,0.0,0.0,18.95,3.1,0.0
20181010:1810,0.0,0.0,0.0,17.62,3.24,0.0
20181010:1910,0.0,0.0,0.0,17.6,4.0,0.0
20181010:2010,0.0,0.0,0.0,17.18,4.14,0.0
20181010:2110,0.0,0.0,0.0,16.68,4.07,0.0
20181010:2210,0.0,0.0,0.0,16.05,3.72,0.0
20181010:2310,0.0,0.0,0.0,15.36,3.31,0.0
20181011:0010,0.0,0.0,0.0,14.69,3.1,0.0
20181011:0110,0.0,0.0,0.0,14.13,3.03,0.0
20181011:0210,0.0,0.0,0.0,13.73,3.1,0.0
20181011:0310,0.0,0.0,0.0,13.47,3.17,0.0
20181011:0410,0.0,0.0,0.0,13.27,3.24,0.0
20181011:0510,0.0,0.0,0.0,13.11,3.31,0.0
20181011:0610,40.9,15.58,2.81,12.89,3.1,0.0
20181011:0710,959.8,150.0,11.64,13.45,2.83,0.0
20181011:0810,2115.9,281.01,19.54,15.64,2.76,0.0
20181011:0910,2790.1,355.01,25.97,17.8,2.69,0.0
20181011:1010,3414.6,432.01,30.33,19.6,2.48,0.0
20181011:1110,2991.2,382.0,32.1,21.27,2.34,0.0
20181011:1210,3110.2,399.01,31.01,22.39,2.48,0.0
20181011:1310,1585.8,212.0,27.22,22.99,2.83,0.0
20181011:1410,464.6,74.0,21.23,22.81,3.17,0.0
20181011:1510,1022.0,152.0,13.64,21.98,3.1,0.0
20181011:1610,173.7,41.68,4.99,21.03,3.38,0.0
20181011:1710,0.0,0.0,0.0,19.95,3.45,0.0
20181011:1810,0.0,0.0,0.0,19.3,3.52,0.0
20181011:1910,0.0,0.0,0.0,18.33,3.79,0.0
20181011:2010,0.0,0.0,0.0,17.64,3.79,0.0
20181011:2110,0.0,0.0,0.0,17.26,3.86,0.0
20181011:2210,0.0,0.0,0.0,16.94,3.79,0.0
20181011:2310,0.0,0.0,0.0,16.81,3.72,0.0
20181012:0010,0.0,0.0,0.0,16.75,3.59,0.0
20181012:0110,0.0,0.0,0.0,16.93,3.59,0.0
20181012:0210,0.0,0.0,0.0,17.02,3.52,0.0
20181012:0310,0.0,0.0,0.0,16.73,3.24,0.0
20181012:0410,0.0,0.0,0.0,16.2,2.97,0.0
20181012:0510,0.0,0.0,0.0,15.9,2.9,0.0
20181012:0610,13.4,9.0,2.55,15.85,2.83,0.0
20181012:0710,905.5,144.0,11.37,16.11,2.97,0.0
20181012:0810,1192.3,162.0,19.24,18.09,3.1,0.0
20181012:0910,1252.4,169.0,25.64,20.1,3.52,0.0
20181012:1010,3752.4,476.01,29.98,21.81,3.93,0.0
20181012:1110,3990.3,506.01,31.73,23.17,4.41,0.0
20181012:1210,3715.2,474.01,30.63,24.17,4.83,0.0
20181012:1310,3139.0,407.01,26.85,24.65,4.97,0.0
20181012:1410,2234.4,303.01,20.87,24.72,4.9,0.0
20181012:1510,1038.0,158.0,13.29,24.51,4.48,0.0
20181012:1610,146.6,42.97,4.65,23.61,3.79,0.0
20181012:1710,0.0,0.0,0.0,22.1,3.66,0.0
20181012:1810,0.0,0.0,0.0,21.07,3.79,0.0
20181012:1910,0.0,0.0,0.0,20.28,3.38,0.0
20181012:2010,0.0,0.0,0.0,19.68,3.45,0.0
20181012:2110,0.0,0.0,0.0,19.19,3.45,0.0
20181012:2210,0.0,0.0,0.0,18.77,3.52,0.0
20181012:2310,0.0,0.0,0.0,18.41,3.52,0.0
20181013:0010,0.0,0.0,0.0,18.1,3.38,0.0
20181013:0110,0.0,0.0,0.0,17.78,3.17,0.0
20181013:0210,0.0,0.0,0.0,17.46,3.1,0.0
20181013:0310,0.0,0.0,0.0,17.14,3.17,0.0
20181013:0410,0.0,0.0,0.0,16.88,3.17,0.0
20181013:0510,0.0,0.0,0.0,16.56,3.03,0.0
20181013:0610,4.8,7.0,2.29,16.2,3.03,0.0
20181013:0710,887.2,145.0,11.09,17.09,3.45,0.0
20181013:0810,1936.1,262.01,18.94,19.02,3.45,0.0
20181013:0910,3041.5,393.01,25.31,21.27,3.79,0.0
20181013:1010,3730.1,476.01,29.62,23.1,4.21,0.0
20181013:1110,3930.1,501.01,31.35,24.4,4.76,0.0
20181013:1210,3729.1,478.01,30.25,25.18,5.1,0.0
20181013:1310,3220.4,420.01,26.47,25.53,5.03,0.0
20181013:1410,2304.5,316.01,20.51,25.52,4.76,0.0
20181013:1510,1124.5,178.0,12.94,25.02,4.14,0.0
20181013:1610,126.8,38.73,4.32,23.73,3.52,0.0
20181013:1710,0.0,0.0,0.0,21.9,3.52,0.0
20181013:1810,0.0,0.0,0.0,20.66,3.72,0.0
20181013:1910,0.0,0.0,0.0,20.43,4.21,0.0
20181013:2010,0.0,0.0,0.0,19.82,4.14,0.0
20181013:2110,0.0,0.0,0.0,19.16,4.0,0.0
20181013:2210,0.0,0.0,0.0,18.53,3.72,0.0
20181013:2310,0.0,0.0,0.0,18.0,3.59,0.0
20181014:0010,0.0,0.0,0.0,17.44,3.45,0.0
20181014:0110,0.0,0.0,0.0,16.95,3.31,0.0
20181014:0210,0.0,0.0,0.0,16.51,3.24,0.0
20181014:0310,0.0,0.0,0.0,16.1,3.24,0.0
20181014:0410,0.0,0.0,0.0,15.82,3.45,0.0
20181014:0510,0.0,0.0,0.0,15.65,3.59,0.0
20181014:0610,0.0,0.0,0.0,15.55,3.72,0.0
20181014:0710,862.2,141.0,10.81,16.33,4.21,0.0
20181014:0810,2070.1,281.01,18.64,18.15,3.86,0.0
20181014:0910,3045.1,391.01,24.98,20.28,4.62,0.0
20181014:1010,3658.9,464.01,29.27,22.16,4.9,0.0
20181014:1110,3931.6,499.01,30.98,23.6,5.1,0.0
20181014:1210,3752.5,480.01,29.87,24.54,5.1,0.0
20181014:1310,3223.6,420.01,26.1,25.01,5.1,0.0
20181014:1410,2281.2,313.01,20.15,25.08,5.1,0.0
20181014:1510,1085.3,173.0,12.6,24.66,4.76,0.0
20181014:1610,107.4,37.43,3.99,23.51,4.07,0.0
20181014:1710,0.0,0.0,0.0,21.78,3.86,0.0
20181014:1810,0.0,0.0,0.0,20.61,3.93,0.0
20181014:1910,0.0,0.0,0.0,20.0,3.93,0.0
20181014:2010,0.0,0.0,0.0,19.52,3.66,0.0
20181014:2110,0.0,0.0,0.0,19.17,3.31,0.0
20181014:2210,0.0,0.0,0.0,18.82,3.17,0.0
20181014:2310,0.0,0.0,0.0,18.31,2.97,0.0
20181015:0010,0.0,0.0,0.0,17.71,2.62,0.0
20181015:0110,0.0,0.0,0.0,17.35,2.41,0.0
20181015:0210,0.0,0.0,0.0,16.55,2.48,0.0
20181015:0310,0.0,0.0,0.0,15.81,2.48,0.0
20181015:0410,0.0,0.0,0.0,15.18,2.55,0.0
20181015:0510,0.0,0.0,0.0,14.65,2.62,0.0
20181015:0610,0.0,0.0,0.0,14.27,2.69,0.0
20181015:0710,800.4,130.0,10.53,15.34,2.83,0.0
20181015:0810,2024.1,276.01,18.33,17.36,2.62,0.0
20181015:0910,2983.1,386.01,24.65,19.82,2.76,0.0
20181015:1010,3661.5,469.01,28.91,21.84,2.83,0.0
20181015:1110,3841.2,494.01,30.61,23.24,2.55,0.0
20181015:1210,3634.6,472.01,29.5,24.16,2.21,0.0
20181015:1310,3109.4,412.01,25.74,24.71,1.79,0.0
